participant_id,condition,age_group,gender,education,party_affiliation,policy_support,pct_opinion,article_convincing,article_shaped_opinion
P0108,economic,18-24,Non-binary/Other,Bachelor's degree,Democrat,Neutral,15% is about the correct amount,Somewhat convincing,No
P0170,economic,25-34,Male,Bachelor's degree,Republican,Neutral,15% is about the correct amount,Strongly convincing,No
P0208,moral,25-34,Female,Bachelor's degree,Independent,Somewhat in favor,15% is too high,Somewhat convincing,Yes
P0009,control,55-64,Male,Bachelor's degree,Independent,Neutral,15% is about the correct amount,Somewhat unconvincing,No
P0029,control,35-44,Male,High school or less,Republican,Neutral,15% is about the correct amount,Neither convincing nor unconvincing,No
P0196,moral,25-34,Female,Bachelor's degree,Independent,Neutral,15% is about the correct amount,Somewhat convincing,No
P0186,moral,25-34,Female,Bachelor's degree,Other/No affiliation,Somewhat in opposition,15% is about the correct amount,Somewhat convincing,No
P0225,moral,45-54,Male,Bachelor's degree,Democrat,Neutral,15% is too high,Neither convincing nor unconvincing,Yes
P0240,moral,35-44,Female,Graduate degree,Democrat,Strongly in favor,15% is too high,Neither convincing nor unconvincing,Yes
P0097,economic,25-34,Female,Some college,Republican,Somewhat in favor,15% is too high,Strongly convincing,No
P0142,economic,55-64,Female,Graduate degree,Independent,Somewhat in favor,15% is about the correct amount,Strongly convincing,No
P0080,control,35-44,Male,High school or less,Democrat,Somewhat in opposition,15% is about the correct amount,Neither convincing nor unconvincing,Yes
P0178,moral,18-24,Male,High school or less,Other/No affiliation,Somewhat in favor,15% is about the correct amount,Somewhat convincing,Maybe
P0236,moral,18-24,Female,Bachelor's degree,Independent,Neutral,15% is about the correct amount,Neither convincing nor unconvincing,No
P0127,economic,18-24,Male,Bachelor's degree,Democrat,Strongly in favor,15% is too high,Strongly convincing,Yes
P0118,economic,35-44,Female,Graduate degree,Democrat,Neutral,15% is about the correct amount,Strongly convincing,Yes
P0195,moral,18-24,Male,High school or less,Independent,Neutral,15% is about the correct amount,Somewhat convincing,No
